datetime,demand_mw,nuclear_mw,wind_mw,solar_new_mw,solar_existing_mw,solar_total_mw,gas_mw,bath_net_mw,na_net_mw,ironair_net_mw,bath_soc_mwh,na_soc_mwh,ironair_soc_mwh,total_storage_soc_pct,curtailment_mwh,unserved_mwh
2046-02-16 09:00:00,20142.555813793086,3695.3,2115.32,51917.30199044234,2254.66643770212,54171.968428144464,0.0,-3000.0,-5243.9522092665065,-31596.080405084867,2399.9999999999927,62927.42651122284,44276.7990714176,2,-0.0,0.0
2046-02-16 10:00:00,20166.80406373606,3695.3,2115.32,60227.87465496657,2615.578283010201,62843.45293797677,0.0,-2400.0,-46087.268874240704,0.0,4199.999999999993,103770.74317619704,31572.227449880862,2,-0.0,0.0
2046-02-16 11:00:00,20197.841823663057,3695.3,2115.32,56211.6554890749,2441.1617742043513,58652.817263279256,0.0,0.0,0.0,-44265.5954396162,3599.9999999999927,98526.79096693054,63133.25126796032,2,-0.0,0.0
2046-02-16 12:00:00,20206.57119364253,3695.3,2115.32,34648.227147948855,1504.7044411271831,36152.93158907604,0.0,-3000.0,0.0,-18756.980395433508,5999.999999999993,93282.83875766402,69185.66004185707,3,-0.0,0.0
2046-02-16 13:00:00,20231.304408584358,3695.3,2115.32,64315.6194851627,2793.101010909857,67108.72049607255,0.0,-3000.0,0.0,-49688.0360874882,8399.999999999993,88038.88654839751,106169.12450780853,3,-0.0,0.0
2046-02-16 14:00:00,20253.127833533028,3695.3,2115.32,80888.0874147759,3512.8107376917374,84400.89815246763,0.0,-3000.0,-52439.52209266505,-14518.868226269566,10799.999999999993,135234.45643179605,107983.42111254137,4,-0.0,0.0
2046-02-16 15:00:00,20262.342168511357,3695.3,2115.32,93087.13146684197,4042.591256743103,97129.72272358507,0.0,-3000.0,-16155.142447389975,-63522.858107683736,13199.999999999993,146145.64666991952,158801.70759868837,5,-0.0,0.0
2046-02-16 16:00:00,20217.72538861629,3695.3,2115.32,79400.2365462863,3448.196297247451,82848.43284353375,0.0,-3000.0,-9641.85243250407,-55799.47502241338,15599.999999999993,150543.54689315706,201896.61099956502,6,-0.0,0.0
2046-02-16 17:00:00,20144.980638787387,3695.3,2115.32,8373.95661970987,363.66448596864916,8737.62110567852,0.0,-3000.0,0.0,8596.73953310887,17999.999999999993,145299.59468389055,193299.87146645616,5,-0.0,0.0
2046-02-16 18:00:00,20134.31140881248,3695.3,2115.32,0.0,0.0,0.0,0.0,0.0,0.0,14323.691408812476,17399.999999999993,140055.64247462404,178976.18005764368,5,-0.0,0.0
2046-02-16 19:00:00,20130.431688821605,3695.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,11319.811688821603,14399.999999999993,134811.69026535752,167656.3683688221,5,-0.0,0.0
2046-02-16 20:00:00,20148.375393779403,3695.3,2115.32,0.0,0.0,0.0,0.0,3000.0,0.0,11337.7553937794,11399.999999999993,129567.73805609101,156318.6129750427,4,-0.0,0.0
