datetime,demand_mw,nuclear_mw,wind_mw,solar_new_mw,solar_existing_mw,solar_total_mw,gas_mw,bath_discharge_mw,bath_charge_mw,bath_soc_mwh,na_discharge_mw,na_charge_mw,na_soc_mwh,ironair_discharge_mw,ironair_charge_mw,ironair_soc_mwh,curtailment_mwh,unserved_mwh
2045-02-05 19:00:00,20156.13483376115,3695.3,2115.32,0.0,0.0,0.0,0.0,3000.0,3000.0,9600.0,49721.489606988245,35375.97477322709,220047.82894313935,25823.175879749946,25823.175879749946,265393.13507023343,0.0,0.0
2045-02-05 20:00:00,20211.42084363112,3695.3,1855.9200000000003,0.0,0.0,0.0,0.0,3000.0,3000.0,9000.0,49721.489606988245,35061.28876335712,201881.49922317252,25823.175879749946,25823.175879749946,260228.49989428345,0.0,0.0
2045-02-05 21:00:00,20256.52258852504,3695.3,1803.22,0.0,0.0,0.0,0.0,3000.0,3000.0,8400.0,49721.489606988245,34963.4870184632,183627.14793280116,25823.175879749946,25823.175879749946,255063.86471833347,0.0,0.0
2045-02-05 22:00:00,20342.84635832201,3695.3,1695.13,0.0,0.0,0.0,0.0,3000.0,3000.0,7800.0,49721.489606988245,34769.07324866623,165197.82424961255,25823.175879749946,25823.175879749946,249899.2295423835,0.0,0.0
2045-02-05 23:00:00,20484.45613798895,3695.3,1750.5700000000004,0.0,0.0,0.0,0.0,3000.0,3000.0,7200.0,49721.489606988245,34682.9034689993,146690.94776472368,25823.175879749946,25823.175879749946,244734.5943664335,0.0,0.0
2045-02-06 00:00:00,20521.313477902262,3695.3,1546.74,0.0,0.0,0.0,0.0,3000.0,3000.0,6600.0,49721.489606988245,34442.21612908598,127967.45267391282,25823.175879749946,25823.175879749946,239569.95919048353,0.0,0.0
2045-02-06 01:00:00,20483.001242992374,3695.3,1167.5,0.0,0.0,0.0,0.0,3000.0,3000.0,6000.0,49721.489606988245,34101.288363995875,108937.12259452086,25823.175879749946,25823.175879749946,234405.32401453354,0.0,0.0
2045-02-06 02:00:00,20483.97117299009,3695.3,914.6910000000001,0.0,0.0,0.0,0.0,3000.0,3000.0,5400.0,49721.489606988245,33847.50943399816,89678.39147813096,25823.175879749946,25823.175879749946,229240.68883858356,0.0,0.0
2045-02-06 03:00:00,20518.403687909107,3695.3,930.1460000000001,0.0,0.0,0.0,0.0,3000.0,3000.0,4800.0,49721.489606988245,33828.531919079134,70402.58059831393,25823.175879749946,25823.175879749946,224076.05366263358,0.0,0.0
2045-02-06 04:00:00,20525.19319789314,3695.3,891.5790000000001,0.0,0.0,0.0,0.0,3000.0,3000.0,4200.0,49721.489606988245,33783.17540909511,51085.94885951128,25823.175879749946,25823.175879749946,218911.4184866836,0.0,0.0
